state,district,pincode,age_0_5,age_5_17,age_18_greater,demo_age_5_17,demo_age_17_,bio_age_5_17,bio_age_17_,total_enrollment,total_demographic,total_biometric,total_demo,total_bio,child_ratio,teen_ratio,adult_ratio,bio_demo_ratio
Andhra Pradesh,Adilabad,504214,7,4,0,8,145,110,441,11,153,551,153,551,0.5833333333333334,0.3333333333333333,0.0,3.5779220779220777
Andhra Pradesh,Adilabad,504215,14,6,0,4,59,155,518,20,63,673,63,673,0.6666666666666666,0.2857142857142857,0.0,10.515625
Andhra Pradesh,Adilabad,504216,10,1,0,29,143,84,194,11,172,278,172,278,0.8333333333333334,0.08333333333333333,0.0,1.606936416184971
Andhra Pradesh,Adilabad,504219,5,1,0,12,118,144,1039,6,130,1183,130,1183,0.7142857142857143,0.14285714285714285,0.0,9.030534351145038
Andhra Pradesh,Adilabad,504231,16,2,0,12,119,142,438,18,131,580,131,580,0.8421052631578947,0.10526315789473684,0.0,4.393939393939394
Andhra Pradesh,Adilabad,504251,12,3,0,24,168,212,1157,15,192,1369,192,1369,0.75,0.1875,0.0,7.0932642487046635
Andhra Pradesh,Adilabad,504272,4,1,0,3,51,58,291,5,54,349,54,349,0.6666666666666666,0.16666666666666666,0.0,6.345454545454546
Andhra Pradesh,Adilabad,504273,14,14,0,20,110,221,1013,28,130,1234,130,1234,0.4827586206896552,0.4827586206896552,0.0,9.419847328244275
Andhra Pradesh,Adilabad,504292,6,3,0,9,104,89,353,9,113,442,113,442,0.6,0.3,0.0,3.8771929824561404
Andhra Pradesh,Adilabad,504293,9,4,0,14,98,224,583,13,112,807,112,807,0.6428571428571429,0.2857142857142857,0.0,7.1415929203539825
Andhra Pradesh,Adilabad,504294,29,7,0,6,109,233,1103,36,115,1336,115,1336,0.7837837837837838,0.1891891891891892,0.0,11.517241379310345
Andhra Pradesh,Adilabad,504295,16,13,0,17,330,114,497,29,347,611,347,611,0.5333333333333333,0.43333333333333335,0.0,1.7557471264367817
Andhra Pradesh,Adilabad,504296,47,12,0,28,317,346,1411,59,345,1757,345,1757,0.7833333333333333,0.2,0.0,5.078034682080925
Andhra Pradesh,Adilabad,504299,57,21,0,37,635,667,3130,78,672,3797,672,3797,0.7215189873417721,0.26582278481012656,0.0,5.641901931649332
Andhra Pradesh,Adilabad,504301,7,2,0,3,36,39,123,9,39,162,39,162,0.7,0.2,0.0,4.05
Andhra Pradesh,Adilabad,504302,6,5,0,2,49,66,145,11,51,211,51,211,0.5,0.4166666666666667,0.0,4.0576923076923075
Andhra Pradesh,Adilabad,504303,3,0,0,3,20,13,37,3,23,50,23,50,0.75,0.0,0.0,2.0833333333333335
Andhra Pradesh,Adilabad,504304,2,1,0,2,31,38,125,3,33,163,33,163,0.5,0.25,0.0,4.794117647058823
Andhra Pradesh,Adilabad,504306,2,0,0,2,14,44,81,2,16,125,16,125,0.6666666666666666,0.0,0.0,7.352941176470588
Andhra Pradesh,Adilabad,504307,28,6,0,7,120,133,458,34,127,591,127,591,0.8,0.17142857142857143,0.0,4.6171875
Andhra Pradesh,Adilabad,504308,10,2,0,6,42,59,268,12,48,327,48,327,0.7692307692307693,0.15384615384615385,0.0,6.673469387755102
Andhra Pradesh,Adilabad,504309,4,2,0,8,127,100,770,6,135,870,135,870,0.5714285714285714,0.2857142857142857,0.0,6.397058823529412
Andhra Pradesh,Adilabad,504310,0,1,0,1,18,67,73,1,19,140,19,140,0.0,0.5,0.0,7.0
Andhra Pradesh,Adilabad,504311,17,11,0,13,205,340,1482,28,218,1822,218,1822,0.5862068965517241,0.3793103448275862,0.0,8.319634703196346
Andhra Pradesh,Adilabad,504312,6,0,0,9,27,137,644,6,36,781,36,781,0.8571428571428571,0.0,0.0,21.10810810810811
Andhra Pradesh,Adilabad,504313,39,12,0,26,218,306,752,51,244,1058,244,1058,0.75,0.23076923076923078,0.0,4.318367346938776
Andhra Pradesh,Adilabad,504346,13,4,0,6,51,91,450,17,57,541,57,541,0.7222222222222222,0.2222222222222222,0.0,9.327586206896552
Andhra Pradesh,Alluri Sitharama Raju,507111,6,2,0,6,44,107,97,8,50,204,50,204,0.6666666666666666,0.2222222222222222,0.0,4.0
Andhra Pradesh,Alluri Sitharama Raju,507121,3,1,2,2,29,86,86,6,31,172,31,172,0.42857142857142855,0.14285714285714285,0.2857142857142857,5.375
Andhra Pradesh,Alluri Sitharama Raju,507129,9,6,0,37,183,240,144,15,220,384,220,384,0.5625,0.375,0.0,1.737556561085973
Andhra Pradesh,Alluri Sitharama Raju,507134,5,0,0,2,13,111,36,5,15,147,15,147,0.8333333333333334,0.0,0.0,9.1875
Andhra Pradesh,Alluri Sitharama Raju,507135,3,1,0,3,27,85,109,4,30,194,30,194,0.6,0.2,0.0,6.258064516129032
Andhra Pradesh,Alluri Sitharama Raju,531024,33,6,0,12,67,288,610,39,79,898,79,898,0.825,0.15,0.0,11.225
Andhra Pradesh,Alluri Sitharama Raju,531029,26,4,1,54,427,381,407,31,481,788,481,788,0.8125,0.125,0.03125,1.6348547717842323
Andhra Pradesh,Alluri Sitharama Raju,531030,1,0,0,2,2,50,29,1,4,79,4,79,0.5,0.0,0.0,15.8
Andhra Pradesh,Alluri Sitharama Raju,531040,32,3,1,38,621,417,501,36,659,918,659,918,0.8648648648648649,0.08108108108108109,0.02702702702702703,1.3909090909090909
Andhra Pradesh,Alluri Sitharama Raju,531077,39,2,0,41,436,293,405,41,477,698,477,698,0.9285714285714286,0.047619047619047616,0.0,1.4602510460251046
Andhra Pradesh,Alluri Sitharama Raju,531084,8,0,0,9,46,71,52,8,55,123,55,123,0.8888888888888888,0.0,0.0,2.1964285714285716
Andhra Pradesh,Alluri Sitharama Raju,531087,11,2,0,11,46,237,142,13,57,379,57,379,0.7857142857142857,0.14285714285714285,0.0,6.5344827586206895
Andhra Pradesh,Alluri Sitharama Raju,531105,10,5,2,3,29,69,117,17,32,186,32,186,0.5555555555555556,0.2777777777777778,0.1111111111111111,5.636363636363637
Andhra Pradesh,Alluri Sitharama Raju,531111,20,4,0,60,358,565,473,24,418,1038,418,1038,0.8,0.16,0.0,2.477326968973747
Andhra Pradesh,Alluri Sitharama Raju,531116,3,2,0,3,36,6,10,5,39,16,39,16,0.5,0.3333333333333333,0.0,0.4
Andhra Pradesh,Alluri Sitharama Raju,531118,7,3,1,10,19,110,159,11,29,269,29,269,0.5833333333333334,0.25,0.08333333333333333,8.966666666666667
Andhra Pradesh,Alluri Sitharama Raju,531133,12,0,0,3,24,219,156,12,27,375,27,375,0.9230769230769231,0.0,0.0,13.392857142857142
Andhra Pradesh,Alluri Sitharama Raju,531149,6,0,0,3,23,369,374,6,26,743,26,743,0.8571428571428571,0.0,0.0,27.51851851851852
Andhra Pradesh,Alluri Sitharama Raju,531151,20,0,2,6,30,362,324,22,36,686,36,686,0.8695652173913043,0.0,0.08695652173913043,18.54054054054054
Andhra Pradesh,Alluri Sitharama Raju,533284,3,0,0,1,8,1,7,3,9,8,9,8,0.75,0.0,0.0,0.8
Andhra Pradesh,Alluri Sitharama Raju,533285,4,0,0,2,7,3,1,4,9,4,9,4,0.8,0.0,0.0,0.4
Andhra Pradesh,Alluri Sitharama Raju,533286,1,0,0,1,8,4,2,1,9,6,9,6,0.5,0.0,0.0,0.6
Andhra Pradesh,Alluri Sitharama Raju,533288,19,2,1,58,234,526,811,22,292,1337,292,1337,0.8260869565217391,0.08695652173913043,0.043478260869565216,4.563139931740614
Andhra Pradesh,Alluri Sitharama Raju,533295,5,3,0,74,330,210,311,8,404,521,404,521,0.5555555555555556,0.3333333333333333,0.0,1.2864197530864196
Andhra Pradesh,Alluri Sitharama Raju,533339,1,0,0,0,6,81,74,1,6,155,6,155,0.5,0.0,0.0,22.142857142857142
Andhra Pradesh,Alluri Sitharama Raju,533347,0,1,0,1,20,72,35,1,21,107,21,107,0.0,0.5,0.0,4.863636363636363
Andhra Pradesh,Alluri Sitharama Raju,533348,1,1,0,1,4,1,2,2,5,3,5,3,0.3333333333333333,0.3333333333333333,0.0,0.5
Andhra Pradesh,Alluri Sitharama Raju,533428,4,1,0,4,20,153,144,5,24,297,24,297,0.6666666666666666,0.16666666666666666,0.0,11.88
Andhra Pradesh,Alluri Sitharama Raju,533429,1,0,0,0,9,0,2,1,9,2,9,2,0.5,0.0,0.0,0.2
Andhra Pradesh,Alluri Sitharama Raju,533436,5,0,0,9,27,152,202,5,36,354,36,354,0.8333333333333334,0.0,0.0,9.567567567567568
Andhra Pradesh,Alluri Sitharama Raju,533483,15,2,0,3,21,148,307,17,24,455,24,455,0.8333333333333334,0.1111111111111111,0.0,18.2
Andhra Pradesh,Alluri Sitharama Raju,535145,7,0,0,3,22,215,316,7,25,531,25,531,0.875,0.0,0.0,20.423076923076923
Andhra Pradesh,Anakapalli,530046,5,0,0,1,2,0,5,5,3,5,3,5,0.8333333333333334,0.0,0.0,1.25
Andhra Pradesh,Anakapalli,531001,10,1,0,10,93,183,146,11,103,329,103,329,0.8333333333333334,0.08333333333333333,0.0,3.1634615384615383
Andhra Pradesh,Anakapalli,531002,5,0,0,0,10,13,11,5,10,24,10,24,0.8333333333333334,0.0,0.0,2.1818181818181817
Andhra Pradesh,Anakapalli,531011,6,0,0,10,45,82,78,6,55,160,55,160,0.8571428571428571,0.0,0.0,2.857142857142857
Andhra Pradesh,Anakapalli,531019,1,0,0,7,28,21,24,1,35,45,35,45,0.5,0.0,0.0,1.25
Andhra Pradesh,Anakapalli,531020,3,0,0,3,11,2,2,3,14,4,14,4,0.75,0.0,0.0,0.26666666666666666
Andhra Pradesh,Anakapalli,531021,1,1,0,6,28,33,33,2,34,66,34,66,0.3333333333333333,0.3333333333333333,0.0,1.8857142857142857
Andhra Pradesh,Anakapalli,531022,1,0,0,1,8,1,1,1,9,2,9,2,0.5,0.0,0.0,0.2
Andhra Pradesh,Anakapalli,531025,2,0,0,5,24,84,77,2,29,161,29,161,0.6666666666666666,0.0,0.0,5.366666666666666
Andhra Pradesh,Anakapalli,531026,3,0,0,8,26,35,25,3,34,60,34,60,0.75,0.0,0.0,1.7142857142857142
Andhra Pradesh,Anakapalli,531027,9,0,0,27,224,123,101,9,251,224,251,224,0.9,0.0,0.0,0.8888888888888888
Andhra Pradesh,Anakapalli,531028,4,0,0,4,13,34,32,4,17,66,17,66,0.8,0.0,0.0,3.6666666666666665
Andhra Pradesh,Anakapalli,531030,2,1,0,0,15,25,31,3,15,56,15,56,0.5,0.25,0.0,3.5
Andhra Pradesh,Anakapalli,531031,1,0,0,20,142,91,131,1,162,222,162,222,0.5,0.0,0.0,1.361963190184049
Andhra Pradesh,Anakapalli,531032,1,0,0,15,167,97,97,1,182,194,182,194,0.5,0.0,0.0,1.0601092896174864
Andhra Pradesh,Anakapalli,531033,3,0,0,4,34,1,6,3,38,7,38,7,0.75,0.0,0.0,0.1794871794871795
Andhra Pradesh,Anakapalli,531034,1,0,0,3,20,12,13,1,23,25,23,25,0.5,0.0,0.0,1.0416666666666667
Andhra Pradesh,Anakapalli,531035,10,0,0,22,134,103,126,10,156,229,156,229,0.9090909090909091,0.0,0.0,1.4585987261146496
Andhra Pradesh,Anakapalli,531036,2,0,0,31,180,103,113,2,211,216,211,216,0.6666666666666666,0.0,0.0,1.0188679245283019
Andhra Pradesh,Anakapalli,531055,4,0,0,91,498,162,123,4,589,285,589,285,0.8,0.0,0.0,0.4830508474576271
Andhra Pradesh,Anakapalli,531060,1,0,0,1,18,0,1,1,19,1,19,1,0.5,0.0,0.0,0.05
Andhra Pradesh,Anakapalli,531061,2,1,0,2,19,61,58,3,21,119,21,119,0.5,0.25,0.0,5.409090909090909
Andhra Pradesh,Anakapalli,531075,1,0,0,0,6,0,2,1,6,2,6,2,0.5,0.0,0.0,0.2857142857142857
Andhra Pradesh,Anakapalli,531081,3,0,0,19,100,173,57,3,119,230,119,230,0.75,0.0,0.0,1.9166666666666667
Andhra Pradesh,Anakapalli,531082,1,0,0,0,18,0,2,1,18,2,18,2,0.5,0.0,0.0,0.10526315789473684
Andhra Pradesh,Anakapalli,531083,3,1,0,6,17,33,29,4,23,62,23,62,0.6,0.2,0.0,2.5833333333333335
Andhra Pradesh,Anakapalli,531084,2,0,0,0,18,36,28,2,18,64,18,64,0.6666666666666666,0.0,0.0,3.3684210526315788
Andhra Pradesh,Anakapalli,531085,3,0,0,3,29,83,81,3,32,164,32,164,0.75,0.0,0.0,4.96969696969697
Andhra Pradesh,Anakapalli,531113,8,0,0,22,157,80,122,8,179,202,179,202,0.8888888888888888,0.0,0.0,1.1222222222222222
Andhra Pradesh,Anakapalli,531114,3,0,0,24,153,65,59,3,177,124,177,124,0.75,0.0,0.0,0.6966292134831461
Andhra Pradesh,Anakapalli,531115,3,0,0,2,21,35,26,3,23,61,23,61,0.75,0.0,0.0,2.5416666666666665
Andhra Pradesh,Anakapalli,531116,9,0,0,20,107,250,250,9,127,500,127,500,0.9,0.0,0.0,3.90625
Andhra Pradesh,Anakapalli,531117,1,0,0,2,15,27,19,1,17,46,17,46,0.5,0.0,0.0,2.5555555555555554
Andhra Pradesh,Anakapalli,531126,8,0,0,7,50,198,98,8,57,296,57,296,0.8888888888888888,0.0,0.0,5.103448275862069
Andhra Pradesh,Anakapalli,531127,3,1,0,4,24,22,13,4,28,35,28,35,0.6,0.2,0.0,1.206896551724138
Andhra Pradesh,Anantapur,515001,59,9,0,38,235,1206,1938,68,273,3144,273,3144,0.855072463768116,0.13043478260869565,0.0,11.474452554744525
Andhra Pradesh,Anantapur,515002,4,1,0,11,60,149,367,5,71,516,71,516,0.6666666666666666,0.16666666666666666,0.0,7.166666666666667
Andhra Pradesh,Anantapur,515003,1,0,0,2,5,1,9,1,7,10,7,10,0.5,0.0,0.0,1.25
Andhra Pradesh,Anantapur,515004,13,3,0,13,89,413,698,16,102,1111,102,1111,0.7647058823529411,0.17647058823529413,0.0,10.78640776699029
Andhra Pradesh,Anantapur,515101,10,0,0,24,69,119,314,10,93,433,93,433,0.9090909090909091,0.0,0.0,4.6063829787234045
Andhra Pradesh,Anantapur,515110,6,2,0,31,78,141,419,8,109,560,109,560,0.6666666666666666,0.2222222222222222,0.0,5.090909090909091
Andhra Pradesh,Anantapur,515122,3,0,0,39,419,221,395,3,458,616,458,616,0.75,0.0,0.0,1.3420479302832244
Andhra Pradesh,Anantapur,515123,5,0,0,8,63,132,519,5,71,651,71,651,0.8333333333333334,0.0,0.0,9.041666666666666
Andhra Pradesh,Anantapur,515124,4,2,0,18,72,105,185,6,90,290,90,290,0.5714285714285714,0.2857142857142857,0.0,3.1868131868131866
Andhra Pradesh,Anantapur,515133,3,1,0,8,48,69,171,4,56,240,56,240,0.6,0.2,0.0,4.2105263157894735
Andhra Pradesh,Anantapur,515134,4,0,0,23,70,133,264,4,93,397,93,397,0.8,0.0,0.0,4.223404255319149
Andhra Pradesh,Anantapur,515144,11,0,0,16,79,143,268,11,95,411,95,411,0.9166666666666666,0.0,0.0,4.28125
Andhra Pradesh,Anantapur,515154,8,1,0,7,35,101,164,9,42,265,42,265,0.8,0.1,0.0,6.162790697674419
Andhra Pradesh,Anantapur,515159,3,0,0,15,34,25,48,3,49,73,49,73,0.75,0.0,0.0,1.46
Andhra Pradesh,Anantapur,515164,6,0,0,10,33,66,105,6,43,171,43,171,0.8571428571428571,0.0,0.0,3.8863636363636362
Andhra Pradesh,Anantapur,515201,28,3,0,59,776,597,1025,31,835,1622,835,1622,0.875,0.09375,0.0,1.9401913875598087
Andhra Pradesh,Anantapur,515211,3,0,0,9,37,178,198,3,46,376,46,376,0.75,0.0,0.0,8.0
Andhra Pradesh,Anantapur,515212,4,1,0,10,46,108,214,5,56,322,56,322,0.6666666666666666,0.16666666666666666,0.0,5.649122807017544
Andhra Pradesh,Anantapur,515231,9,0,0,6,87,220,492,9,93,712,93,712,0.9,0.0,0.0,7.574468085106383
Andhra Pradesh,Anantapur,515241,6,1,0,23,236,101,188,7,259,289,259,289,0.75,0.125,0.0,1.1115384615384616
Andhra Pradesh,Anantapur,515261,11,1,0,11,57,76,143,12,68,219,68,219,0.8461538461538461,0.07692307692307693,0.0,3.1739130434782608
Andhra Pradesh,Anantapur,515271,5,1,0,12,68,244,217,6,80,461,80,461,0.7142857142857143,0.14285714285714285,0.0,5.691358024691358
Andhra Pradesh,Anantapur,515281,1,1,0,22,72,189,275,2,94,464,94,464,0.3333333333333333,0.3333333333333333,0.0,4.88421052631579
Andhra Pradesh,Anantapur,515286,2,2,0,5,29,177,203,4,34,380,34,380,0.4,0.4,0.0,10.857142857142858
Andhra Pradesh,Anantapur,515291,8,1,0,5,32,138,182,9,37,320,37,320,0.8,0.1,0.0,8.421052631578947
Andhra Pradesh,Anantapur,515301,10,0,0,19,99,344,456,10,118,800,118,800,0.9090909090909091,0.0,0.0,6.722689075630252
Andhra Pradesh,Anantapur,515303,7,0,0,13,50,154,166,7,63,320,63,320,0.875,0.0,0.0,5.0
Andhra Pradesh,Anantapur,515305,5,0,0,15,50,173,198,5,65,371,65,371,0.8333333333333334,0.0,0.0,5.621212121212121
Andhra Pradesh,Anantapur,515311,3,1,0,18,106,218,461,4,124,679,124,679,0.6,0.2,0.0,5.432
Andhra Pradesh,Anantapur,515321,13,1,0,22,76,153,183,14,98,336,98,336,0.8666666666666667,0.06666666666666667,0.0,3.393939393939394
Andhra Pradesh,Anantapur,515331,13,3,0,21,109,138,331,16,130,469,130,469,0.7647058823529411,0.17647058823529413,0.0,3.5801526717557253
Andhra Pradesh,Anantapur,515341,4,0,0,7,32,26,72,4,39,98,39,98,0.8,0.0,0.0,2.45
Andhra Pradesh,Anantapur,515401,14,1,0,57,644,405,764,15,701,1169,701,1169,0.875,0.0625,0.0,1.6652421652421652
Andhra Pradesh,Anantapur,515402,9,2,0,9,32,183,305,11,41,488,41,488,0.75,0.16666666666666666,0.0,11.619047619047619
Andhra Pradesh,Anantapur,515405,6,2,0,14,44,146,218,8,58,364,58,364,0.6666666666666666,0.2222222222222222,0.0,6.169491525423729
Andhra Pradesh,Anantapur,515408,10,0,0,27,107,259,291,10,134,550,134,550,0.9090909090909091,0.0,0.0,4.074074074074074
Andhra Pradesh,Anantapur,515411,44,5,0,9,134,480,859,49,143,1339,143,1339,0.88,0.1,0.0,9.29861111111111
Andhra Pradesh,Anantapur,515414,2,0,0,20,163,172,203,2,183,375,183,375,0.6666666666666666,0.0,0.0,2.0380434782608696
Andhra Pradesh,Anantapur,515415,1,1,0,5,20,43,64,2,25,107,25,107,0.3333333333333333,0.3333333333333333,0.0,4.115384615384615
Andhra Pradesh,Anantapur,515425,29,2,0,76,827,499,488,31,903,987,903,987,0.90625,0.0625,0.0,1.0918141592920354
Andhra Pradesh,Anantapur,515435,7,1,0,0,24,139,174,8,24,313,24,313,0.7777777777777778,0.1111111111111111,0.0,12.52
Andhra Pradesh,Anantapur,515445,5,1,0,7,49,231,224,6,56,455,56,455,0.7142857142857143,0.14285714285714285,0.0,7.982456140350878
Andhra Pradesh,Anantapur,515455,7,1,0,4,32,132,189,8,36,321,36,321,0.7777777777777778,0.1111111111111111,0.0,8.675675675675675
Andhra Pradesh,Anantapur,515465,9,2,0,7,50,230,260,11,57,490,57,490,0.75,0.16666666666666666,0.0,8.448275862068966
Andhra Pradesh,Anantapur,515501,8,1,0,24,70,104,238,9,94,342,94,342,0.8,0.1,0.0,3.6
Andhra Pradesh,Anantapur,515511,4,0,0,12,58,166,346,4,70,512,70,512,0.8,0.0,0.0,7.211267605633803
Andhra Pradesh,Anantapur,515521,9,2,0,32,171,304,288,11,203,592,203,592,0.75,0.16666666666666666,0.0,2.9019607843137254
Andhra Pradesh,Anantapur,515531,7,0,0,10,38,62,105,7,48,167,48,167,0.875,0.0,0.0,3.4081632653061225
Andhra Pradesh,Anantapur,515541,6,1,0,14,31,112,176,7,45,288,45,288,0.75,0.125,0.0,6.260869565217392
Andhra Pradesh,Anantapur,515551,5,0,0,13,76,135,173,5,89,308,89,308,0.8333333333333334,0.0,0.0,3.422222222222222
Andhra Pradesh,Anantapur,515556,2,0,0,11,42,68,78,2,53,146,53,146,0.6666666666666666,0.0,0.0,2.7037037037037037
Andhra Pradesh,Anantapur,515561,8,1,0,32,229,142,164,9,261,306,261,306,0.8,0.1,0.0,1.16793893129771
Andhra Pradesh,Anantapur,515571,9,5,0,32,474,204,352,14,506,556,506,556,0.6,0.3333333333333333,0.0,1.096646942800789
Andhra Pradesh,Anantapur,515581,8,1,0,22,126,265,325,9,148,590,148,590,0.8,0.1,0.0,3.959731543624161
Andhra Pradesh,Anantapur,515591,34,1,0,31,206,577,844,35,237,1421,237,1421,0.9444444444444444,0.027777777777777776,0.0,5.970588235294118
Andhra Pradesh,Anantapur,515601,4,0,0,4,25,89,199,4,29,288,29,288,0.8,0.0,0.0,9.6
Andhra Pradesh,Anantapur,515611,6,1,0,7,35,173,255,7,42,428,42,428,0.75,0.125,0.0,9.953488372093023
Andhra Pradesh,Anantapur,515621,10,1,0,6,43,112,281,11,49,393,49,393,0.8333333333333334,0.08333333333333333,0.0,7.86
